scope,scenario,strength,method,n,recall_at_3_mean,recall_at_3_sd,recall_at_5_mean,recall_at_5_sd,recall_at_10_mean,recall_at_10_sd,average_precision_mean,average_precision_sd,ndcg_at_3_mean,ndcg_at_3_sd,ndcg_at_5_mean,ndcg_at_5_sd,ndcg_at_10_mean,ndcg_at_10_sd
all_non_null,ALL_NON_NULL,ALL,vanilla_scpa,1320,0.29318783068783066,0.2258649534689115,0.40367574555074553,0.2678136102670463,0.5576605339105338,0.2854804449482774,0.48201272023543235,0.2506054492378437,0.503115303216772,0.3564522771693996,0.484855273873961,0.3102971102350523,0.5269960796364339,0.2823298712713845
truth_fallback,NO_FALLBACK,ALL,vanilla_scpa,800,0.2661081349206349,0.2030676682197771,0.3892242063492064,0.2571656924819635,0.5503214285714286,0.29737065977767657,0.4714846079822908,0.25385912138385214,0.4850840386898452,0.3528677188110744,0.4777092349492611,0.3100168482904568,0.5149289389487336,0.2864105877936586
truth_fallback,FALLBACK,ALL,vanilla_scpa,520,0.3348489010989011,0.2515907995346657,0.4259088827838828,0.2822248065883055,0.5689514652014652,0.26603812733871296,0.4982098160094965,0.24487449551814758,0.5308557101812749,0.36047912109732233,0.4958491799119606,0.31070507705432054,0.5455609114636648,0.27517447599054146
scenario,null,ALL,vanilla_scpa,220,0.1677344877344877,0.17953607635599894,0.2128102453102453,0.1798192342985613,0.38222222222222224,0.2667852112112532,0.30264752719350096,0.16226633689920852,0.2450740717928744,0.25937094800664173,0.24204409794006954,0.20936734062893236,0.3226321101762274,0.22991348439886394
scenario_strength,null,0.0,vanilla_scpa,220,0.1677344877344877,0.17953607635599894,0.2128102453102453,0.1798192342985613,0.38222222222222224,0.2667852112112532,0.30264752719350096,0.16226633689920852,0.2450740717928744,0.25937094800664173,0.24204409794006954,0.20936734062893236,0.3226321101762274,0.22991348439886394
scenario,mean_shift,ALL,vanilla_scpa,440,0.29755681818181823,0.23301819934671014,0.43877976190476187,0.29627654674703807,0.6020247113997114,0.32243152787411383,0.5213072300760268,0.29083514858607723,0.5291012307439317,0.3920489401759753,0.5208460570697083,0.3468345095698181,0.5584071125239503,0.31882784395964503
scenario_strength,mean_shift,0.5,vanilla_scpa,220,0.20902417027417028,0.22276831578388046,0.3208351370851371,0.2666324213916448,0.46591269841269833,0.2807099713358965,0.3842433266157799,0.22837806036554553,0.36808062882903114,0.34012597413486834,0.37283472839762605,0.2977508646218291,0.41608706558978753,0.2728727655014758
scenario_strength,mean_shift,1.0,vanilla_scpa,220,0.3860894660894661,0.20849348663497336,0.5567243867243868,0.2773421129050572,0.7381367243867244,0.3039385683158831,0.6583711335362734,0.28223264961814054,0.6901218326588322,0.3746049272070972,0.6688573857417904,0.3293437279933844,0.7007271594581129,0.2976777352610721
scenario,cell_subset,ALL,vanilla_scpa,440,0.22455898268398267,0.18869600214925553,0.31834505772005767,0.22839275232304934,0.48426677489177494,0.26584269497150337,0.38147914717562026,0.18607341832728955,0.36536367775478107,0.28130246338325665,0.3647918562191965,0.24437136063874648,0.4313870339158806,0.24090999432059457
scenario_strength,cell_subset,0.5,vanilla_scpa,220,0.22557359307359306,0.19433351237096436,0.30654581529581526,0.23127004652599087,0.46606421356421357,0.26626261202405876,0.37034694365355975,0.18924541571612785,0.3551809287665327,0.2828732271015107,0.3478205588895077,0.2432683289791362,0.41400080621867363,0.24494342050667026
scenario_strength,cell_subset,1.0,vanilla_scpa,220,0.2235443722943723,0.18332311762700162,0.33014430014430013,0.22538663864971653,0.5024693362193362,0.264775207992223,0.3926113506976807,0.1825977007795395,0.37554642674302957,0.2799962403928764,0.38176315354888535,0.24484535058600299,0.44877326161308756,0.236084012762799
scenario,mixed_direction,ALL,vanilla_scpa,440,0.3574476911976912,0.23344200284336725,0.453902417027417,0.2539579354569847,0.5866901154401155,0.24903394350288188,0.5432517834546502,0.23248791031966604,0.6148810011516033,0.34162042691365296,0.5689279083329779,0.2940226986292784,0.5911940924694707,0.25597501400919365
scenario_strength,mixed_direction,0.5,vanilla_scpa,220,0.2619065656565656,0.23843760114469711,0.34078463203463205,0.24176289574398258,0.47934523809523816,0.23983728938541007,0.4191827001676392,0.21428878998119041,0.4421537284243305,0.33452037333298895,0.41881893107815,0.2859411211993594,0.45800419639949586,0.2499172710524499
