experiment_id,draw_id,pathway,source_database,perturbation_type,perturbation_strength,perturbation_seed,method,gene_count,truth_fallback_used,truth_count,average_precision,recall_at_3,ndcg_at_3,chance_recall_at_3,chance_ndcg_at_3,recall_at_5,ndcg_at_5,chance_recall_at_5,chance_ndcg_at_5,recall_at_10,ndcg_at_10,chance_recall_at_10,chance_ndcg_at_10,chance_average_precision
d01_p01_cell_subset_a050,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,cell_subset,0.5,20363902,vanilla_scpa,42,False,7,0.32550264550264546,0.14285714285714285,0.46927872602275644,0.07142857142857142,0.16666666666666666,0.2857142857142857,0.4703652827859579,0.11904761904761904,0.16666666666666666,0.2857142857142857,0.38121301394452073,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_cell_subset_a050,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,cell_subset,0.5,20363902,genept_scpa,42,False,7,0.23975279106858058,0.0,0.0,0.07142857142857142,0.16666666666666666,0.2857142857142857,0.27727342735504823,0.11904761904761904,0.16666666666666666,0.42857142857142855,0.3074654952909128,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_cell_subset_a100,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,cell_subset,1.0,20363902,vanilla_scpa,42,False,7,0.21691926770708284,0.14285714285714285,0.23463936301137822,0.07142857142857142,0.16666666666666666,0.14285714285714285,0.16958010263680806,0.11904761904761904,0.16666666666666666,0.2857142857142857,0.22906361076190904,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_cell_subset_a100,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,cell_subset,1.0,20363902,genept_scpa,42,False,7,0.16914251527901866,0.0,0.0,0.07142857142857142,0.16666666666666666,0.14285714285714285,0.13120507751234178,0.11904761904761904,0.16666666666666666,0.2857142857142857,0.20424960638019762,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_mean_shift_a050,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,mean_shift,0.5,20362902,vanilla_scpa,42,False,7,0.6666666666666666,0.2857142857142857,0.7653606369886217,0.07142857142857142,0.16666666666666666,0.42857142857142855,0.6992148198508501,0.11904761904761904,0.16666666666666666,0.7142857142857143,0.7440567876406285,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_mean_shift_a050,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,mean_shift,0.5,20362902,genept_scpa,42,False,7,0.5676890955528726,0.42857142857142855,1.0,0.07142857142857142,0.16666666666666666,0.42857142857142855,0.7227265726449519,0.11904761904761904,0.16666666666666666,0.42857142857142855,0.5857421563596757,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_mean_shift_a100,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,mean_shift,1.0,20362902,vanilla_scpa,42,False,7,0.9478458049886621,0.42857142857142855,1.0,0.07142857142857142,0.16666666666666666,0.7142857142857143,1.0,0.11904761904761904,0.16666666666666666,1.0,0.9848330959553522,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_mean_shift_a100,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,mean_shift,1.0,20362902,genept_scpa,42,False,7,0.8019047619047619,0.42857142857142855,1.0,0.07142857142857142,0.16666666666666666,0.7142857142857143,1.0,0.11904761904761904,0.16666666666666666,0.7142857142857143,0.8104616303452685,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_mixed_direction_a050,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,mixed_direction,0.5,20364902,vanilla_scpa,42,True,7,0.5728647014361299,0.14285714285714285,0.46927872602275644,0.07142857142857142,0.16666666666666666,0.42857142857142855,0.6164336326286644,0.11904761904761904,0.16666666666666666,0.7142857142857143,0.6802547535551714,0.23809523809523808,0.20815282153870118,0.2342833903790313
d01_p01_mixed_direction_a050,1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG,mixed_direction,0.5,20364902,genept_scpa,42,True,7,0.19368407281941116,0.0,0.0,0.07142857142857142,0.16666666666666666,0.14285714285714285,0.14606834984270645,0.11904761904761904,0.16666666666666666,0.2857142857142857,0.2162957183053307,0.23809523809523808,0.20815282153870118,0.2342833903790313
